0x140AD9BC0	EXE2j_btlev29_event29_exit
0x140787560	EXE2j_btlev2a_BattleEvent2aMove
0x140787650	EXE2j_btlev2a_btlev2a_init
0x140787880	EXE2j_btlev2a_btlev2a_move
0x140787970	EXE2j_btlev2a_btlev2a_telop
0x140787B20	EXE2j_btlev2a_btlev2a_wakusei_set
0x140788450	EXE2j_btlev2a_btlev2a_wait
0x140788600	EXE2j_btlev2a_btlev2a_exit
0x140A920B0	EXE2j_btlev2b_BattleEvent2bMove
0x140A921A0	EXE2j_btlev2b_event2b_init
0x140A923E0	EXE2j_btlev2b_event2b_move
0x140A924D0	EXE2j_btlev2b_event2b_appear
0x140A926A0	EXE2j_btlev2b_event2b_set
0x140A92930	EXE2j_btlev2b_event2b_fade
0x140A92B00	EXE2j_btlev2b_event2b_exit
0x14067FED0	EXE2j_btlev2c_BattleEvent2cMove
0x14067FFC0	EXE2j_btlev2c_btlev2c_init
0x1406801F0	EXE2j_btlev2c_btlev2c_move
0x1406802E0	EXE2j_btlev2c_btlev2c_telop
0x1406804A0	EXE2j_btlev2c_btlev2c_pl_erase
0x140680780	EXE2j_btlev2c_btlev2c_pl_entry
0x140680920	EXE2j_btlev2c_btlev2c_exit
0x140631DF0	EXE2j_btlev2d_BattleEvent2dMove
0x140631EE0	EXE2j_btlev2d_event2d_init
0x140632130	EXE2j_btlev2d_event2d_move
0x140632220	EXE2j_btlev2d_event2d_appear
0x1406324B0	EXE2j_btlev2d_event2d_set
0x140632730	EXE2j_btlev2d_event2d_fade
0x140632900	EXE2j_btlev2d_event2d_exit
0x140632A60	EXE2j_btlev2d_next_set_pos
0x14067CD20	EXE2j_btlev2e_BattleEvent2eMove
0x14067CE10	EXE2j_btlev2e_btlev2e_init
0x14067D040	EXE2j_btlev2e_btlev2e_move
0x14067D130	EXE2j_btlev2e_btlev2e_telop
0x14067D2E0	EXE2j_btlev2e_btlev2e_pl_erase
