0x140D9A8E0	EXE3w_btlev21_event21_fade
0x140D9AAB0	EXE3w_btlev21_event21_exit
0x1412EE630	EXE3w_btlev22_BattleEvent22Move
0x1412EE720	EXE3w_btlev22_event22_init
0x1412EE990	EXE3w_btlev22_event22_move
0x1412EEA80	EXE3w_btlev22_event22_telop
0x1412EEBD0	EXE3w_btlev22_event22_pl_off
0x1412EEDB0	EXE3w_btlev22_event22_efc
0x1412EF120	EXE3w_btlev22_event22_pl_on
0x1412EF2A0	EXE3w_btlev22_event22_fade
0x1412EF470	EXE3w_btlev22_event22_exit
0x140CFA8B0	EXE3w_btlev23_BattleEvent23Move
0x140CFA9A0	EXE3w_btlev23_event23_init
0x140CFAC10	EXE3w_btlev23_event23_move
0x140CFAD00	EXE3w_btlev23_event23_telop
0x140CFAE50	EXE3w_btlev23_event23_pl_off
0x140CFB030	EXE3w_btlev23_event23_efc
0x140CFB3A0	EXE3w_btlev23_event23_pl_on
0x140CFB520	EXE3w_btlev23_event23_fade
0x140CFB6F0	EXE3w_btlev23_event23_exit
0x1413F0CB0	EXE3w_btlev24_BattleEvent24Move
0x1413F0DA0	EXE3w_btlev24_event24_init
0x1413F0FE0	EXE3w_btlev24_event24_move
0x1413F10D0	EXE3w_btlev24_event24_telop
0x1413F12B0	EXE3w_btlev24_event24_efc
0x1413F14B0	EXE3w_btlev24_event24_fade
0x1413F1680	EXE3w_btlev24_event24_exit
0x1413F17E0	EXE3w_btlev24_event24_chip_cnt
0x1413F1BB0	EXE3w_btlev24_event24_jealousy_set
0x14110D970	EXE3w_btlev25_BattleEvent25Move
0x14110DA60	EXE3w_btlev25_event25_init
0x14110DCA0	EXE3w_btlev25_event25_move
0x14110DD90	EXE3w_btlev25_event25_telop
0x14110DF50	EXE3w_btlev25_event25_efc
0x14110E130	EXE3w_btlev25_event25_fade
0x14110E2F0	EXE3w_btlev25_event25_exit
0x14136FFC0	EXE3w_btlev26_BattleEvent26Move
0x1413700B0	EXE3w_btlev26_event26_init
0x1413702F0	EXE3w_btlev26_event26_move
0x1413703E0	EXE3w_btlev26_event26_appear
0x141370660	EXE3w_btlev26_event26_set
0x141370AA0	EXE3w_btlev26_event26_fade
0x141370C70	EXE3w_btlev26_event26_exit
0x14113C7B0	EXE3w_btlev27_BattleEvent27Move
0x14113C8A0	EXE3w_btlev27_btlev27_move
0x14113C990	EXE3w_btlev27_btlev27_pl_erase
0x140C51300	EXE3w_btlev28_BattleEvent28Move
0x140C513F0	EXE3w_btlev28_event28_init
0x140C51630	EXE3w_btlev28_event28_move
0x140C51720	EXE3w_btlev28_event28_appear
0x140C519A0	EXE3w_btlev28_event28_set
0x140C51DE0	EXE3w_btlev28_event28_fade
0x140C51FB0	EXE3w_btlev28_event28_exit
0x1413F8790	EXE3w_btlev29_BattleEvent29Move
0x1413F8880	EXE3w_btlev29_btlev29_move
0x1413F8970	EXE3w_btlev29_btlev29_pl_erase
0x140F436C0	EXE3w_btlev2a_BattleEvent2aMove
0x140F437B0	EXE3w_btlev2a_btlev2a_move
0x140F438A0	EXE3w_btlev2a_btlev2a_pl_erase
0x141394520	EXE3w_btlev2b_BattleEvent2bMove
0x141394610	EXE3w_btlev2b_btlev2b_init
0x141394930	EXE3w_btlev2b_btlev2b_move
0x141394A20	EXE3w_btlev2b_btlev2b_check
0x141394B50	EXE3w_btlev2b_btlev2b_telop
0x141394CF0	EXE3w_btlev2b_btlev2b_pl_erase
0x141394FB0	EXE3w_btlev2b_btlev2b_pl_entry
0x141395140	EXE3w_btlev2b_btlev2b_exit
0x140D8E070	EXE3w_btlev2c_BattleEvent2cMove
0x140D8E160	EXE3w_btlev2c_event2c_init
0x140D8E3A0	EXE3w_btlev2c_event2c_move
0x140D8E490	EXE3w_btlev2c_event2c_appear
0x140D8E660	EXE3w_btlev2c_event2c_set
0x140D8E8F0	EXE3w_btlev2c_event2c_fade
0x140D8EAC0	EXE3w_btlev2c_event2c_exit
0x140D3E600	EXE3w_btlev2d_BattleEvent2dMove
0x140D3E6F0	EXE3w_btlev2d_event2d_init
0x140D3E930	EXE3w_btlev2d_event2d_move
0x140D3EA20	EXE3w_btlev2d_event2d_set
0x140D3EE90	EXE3w_btlev2d_event2d_fade
0x140D3F060	EXE3w_btlev2d_event2d_exit
0x140D88620	EXE3w_btlev2e_BattleEvent2eMove
0x140D88710	EXE3w_btlev2e_event2e_init
0x140D88950	EXE3w_btlev2e_event2e_move
0x140D88A40	EXE3w_btlev2e_event2e_appear
0x140D88CD0	EXE3w_btlev2e_event2e_set
0x140D88F50	EXE3w_btlev2e_event2e_fade
0x140D89120	EXE3w_btlev2e_event2e_exit
0x140D89280	EXE3w_btlev2e_next_set_pos
0x140E1CAA0	EXE3w_btlev2f_BattleEvent2fMove
0x140E1CB90	EXE3w_btlev2f_btlev2f_init
0x140E1CEC0	EXE3w_btlev2f_btlev2f_move
0x140E1CFB0	EXE3w_btlev2f_btlev2f_telop
0x140E1D200	EXE3w_btlev2f_btlev2f_piece_erase
0x140E1D460	EXE3w_btlev2f_btlev2f_piece_set
0x140E1D590	EXE3w_btlev2f_type_ofence
0x140E1D680	EXE3w_btlev2f_type_ofence_00
0x140E1DAD0	EXE3w_btlev2f_type_ofence_01
0x140E1E330	EXE3w_btlev2f_type_ofence_02
0x140E1E740	EXE3w_btlev2f_type_knight
0x140E1E830	EXE3w_btlev2f_type_knight_00
0x140E1EF70	EXE3w_btlev2f_type_knight_01
