0x140A36C80	EXE2j_btlev22_btlev22_move
0x140A36D70	EXE2j_btlev22_btlev22_telop
0x140A36F30	EXE2j_btlev22_btlev22_pl_erase
0x140A37210	EXE2j_btlev22_btlev22_pl_entry
0x140A373B0	EXE2j_btlev22_btlev22_exit
0x1405F48E0	EXE2j_btlev23_BattleEvent23Move
0x1405F49D0	EXE2j_btlev23_event23_init
0x1405F4C10	EXE2j_btlev23_event23_move
0x1405F4D00	EXE2j_btlev23_event23_appear
0x1405F4F10	EXE2j_btlev23_event23_set
0x1405F51D0	EXE2j_btlev23_event23_fade
0x1405F53A0	EXE2j_btlev23_event23_exit
0x140AD3110	EXE2j_btlev24_BattleEvent24Move
0x140AD3200	EXE2j_btlev24_btlev24_init
0x140AD3430	EXE2j_btlev24_btlev24_move
0x140AD3520	EXE2j_btlev24_btlev24_telop
0x140AD36E0	EXE2j_btlev24_btlev24_pl_erase
0x140AD39C0	EXE2j_btlev24_btlev24_pl_entry
0x140AD3B60	EXE2j_btlev24_btlev24_exit
0x1408F19E0	EXE2j_btlev25_BattleEvent25Move
0x1408F1AD0	EXE2j_btlev25_event25_init
0x1408F1D10	EXE2j_btlev25_event25_move
0x1408F1E00	EXE2j_btlev25_event25_telop
0x1408F2050	EXE2j_btlev25_event25_efc
0x1408F22D0	EXE2j_btlev25_event25_fade
0x1408F24A0	EXE2j_btlev25_event25_exit
0x140A80AC0	EXE2j_btlev26_BattleEvent26Move
0x140A80BB0	EXE2j_btlev26_event26_init
0x140A80DF0	EXE2j_btlev26_event26_move
0x140A80EE0	EXE2j_btlev26_event26_appear
0x140A810B0	EXE2j_btlev26_event26_set
0x140A81330	EXE2j_btlev26_event26_fade
0x140A81500	EXE2j_btlev26_event26_exit
0x140915CA0	EXE2j_btlev27_BattleEvent27Move
0x140915D90	EXE2j_btlev27_event27_init
0x140915FD0	EXE2j_btlev27_event27_move
0x1409160C0	EXE2j_btlev27_event27_appear
0x140916330	EXE2j_btlev27_event27_set
0x140916500	EXE2j_btlev27_event27_exit
0x140574E50	EXE2j_btlev28_BattleEvent28Move
0x140574F40	EXE2j_btlev28_event28_init
0x1405751A0	EXE2j_btlev28_event28_move
0x140575290	EXE2j_btlev28_event28_appear
0x140575460	EXE2j_btlev28_event28_set
0x1405756F0	EXE2j_btlev28_event28_fade
0x1405758C0	EXE2j_btlev28_event28_exit
0x140ADA580	EXE2j_btlev29_BattleEvent29Move
0x140ADA670	EXE2j_btlev29_event29_init
0x140ADA8B0	EXE2j_btlev29_event29_move
0x140ADA9A0	EXE2j_btlev29_event29_appear
0x140ADAB70	EXE2j_btlev29_event29_set
0x140ADADD0	EXE2j_btlev29_event29_fade
0x140ADAFE0	EXE2j_btlev29_event29_exit
0x140788980	EXE2j_btlev2a_BattleEvent2aMove
0x140788A70	EXE2j_btlev2a_btlev2a_init
0x140788CA0	EXE2j_btlev2a_btlev2a_move
0x140788D90	EXE2j_btlev2a_btlev2a_telop
0x140788F40	EXE2j_btlev2a_btlev2a_wakusei_set
0x140789870	EXE2j_btlev2a_btlev2a_wait
