0x1410F45B0	EXE3w_btlev1b_BattleEvent1bMove
0x1410F46A0	EXE3w_btlev1b_event1b_init
0x1410F48E0	EXE3w_btlev1b_event1b_move
0x1410F49D0	EXE3w_btlev1b_event1b_telop
0x1410F4C20	EXE3w_btlev1b_event1b_efc
0x1410F4E90	EXE3w_btlev1b_event1b_fade
0x1410F5060	EXE3w_btlev1b_event1b_exit
0x140D5C9F0	EXE3w_btlev1c_BattleEvent1cMove
0x140D5CAE0	EXE3w_btlev1c_event1c_init
0x140D5CD20	EXE3w_btlev1c_event1c_move
0x140D5CE10	EXE3w_btlev1c_event1c_appear
0x140D5D080	EXE3w_btlev1c_event1c_set
0x140D5D250	EXE3w_btlev1c_event1c_exit
0x140CBF0C0	EXE3w_btlev1d_BattleEvent1dMove
0x140CBF1B0	EXE3w_btlev1d_btlev1d_init
0x140CBF4D0	EXE3w_btlev1d_btlev1d_move
0x140CBF5C0	EXE3w_btlev1d_btlev1d_check
0x140CBF6F0	EXE3w_btlev1d_btlev1d_telop
0x140CBF890	EXE3w_btlev1d_btlev1d_pl_erase
0x140CBFB50	EXE3w_btlev1d_btlev1d_pl_entry
0x140CBFCE0	EXE3w_btlev1d_btlev1d_exit
0x1411715D0	EXE3w_btlev1e_BattleEvent1eMove
0x1411716C0	EXE3w_btlev1e_btlev1e_init
0x1411719E0	EXE3w_btlev1e_btlev1e_move
0x141171AD0	EXE3w_btlev1e_btlev1e_check
0x141171C00	EXE3w_btlev1e_btlev1e_telop
0x141171DA0	EXE3w_btlev1e_btlev1e_pl_erase
0x141172060	EXE3w_btlev1e_btlev1e_pl_entry
0x1411721F0	EXE3w_btlev1e_btlev1e_exit
0x140CAD2C0	EXE3w_btlev1f_BattleEvent1fMove
0x140CAD3B0	EXE3w_btlev1f_btlev1f_move
0x140CAD4A0	EXE3w_btlev1f_btlev1f_pl_erase
0x1410DE890	EXE3w_btlev20_BattleEvent20Move
0x1410DE980	EXE3w_btlev20_event20_init
0x1410DEC10	EXE3w_btlev20_event20_move
0x1410DED00	EXE3w_btlev20_event20_telop
0x1410DEEF0	EXE3w_btlev20_event20_efc
0x1410DF0B0	EXE3w_btlev20_event20_fade
0x1410DF280	EXE3w_btlev20_event20_exit
0x140D9B460	EXE3w_btlev21_BattleEvent21Move
0x140D9B550	EXE3w_btlev21_event21_init
0x140D9B7B0	EXE3w_btlev21_event21_move
0x140D9B8A0	EXE3w_btlev21_event21_appear
0x140D9BA70	EXE3w_btlev21_event21_set
0x140D9BD00	EXE3w_btlev21_event21_fade
0x140D9BED0	EXE3w_btlev21_event21_exit
0x1412EFA50	EXE3w_btlev22_BattleEvent22Move
0x1412EFB40	EXE3w_btlev22_event22_init
0x1412EFDB0	EXE3w_btlev22_event22_move
0x1412EFEA0	EXE3w_btlev22_event22_telop
0x1412EFFF0	EXE3w_btlev22_event22_pl_off
0x1412F01D0	EXE3w_btlev22_event22_efc
0x1412F0540	EXE3w_btlev22_event22_pl_on
0x1412F06C0	EXE3w_btlev22_event22_fade
0x1412F0890	EXE3w_btlev22_event22_exit
0x140CFBCD0	EXE3w_btlev23_BattleEvent23Move
0x140CFBDC0	EXE3w_btlev23_event23_init
0x140CFC030	EXE3w_btlev23_event23_move
0x140CFC120	EXE3w_btlev23_event23_telop
0x140CFC270	EXE3w_btlev23_event23_pl_off
0x140CFC450	EXE3w_btlev23_event23_efc
0x140CFC7C0	EXE3w_btlev23_event23_pl_on
0x140CFC940	EXE3w_btlev23_event23_fade
0x140CFCB10	EXE3w_btlev23_event23_exit
0x1413F20D0	EXE3w_btlev24_BattleEvent24Move
0x1413F21C0	EXE3w_btlev24_event24_init
0x1413F2400	EXE3w_btlev24_event24_move
0x1413F24F0	EXE3w_btlev24_event24_telop
0x1413F26D0	EXE3w_btlev24_event24_efc
0x1413F28D0	EXE3w_btlev24_event24_fade
0x1413F2AA0	EXE3w_btlev24_event24_exit
0x1413F2C00	EXE3w_btlev24_event24_chip_cnt
0x1413F2FD0	EXE3w_btlev24_event24_jealousy_set
0x14110ED90	EXE3w_btlev25_BattleEvent25Move
0x14110EE80	EXE3w_btlev25_event25_init
0x14110F0C0	EXE3w_btlev25_event25_move
0x14110F1B0	EXE3w_btlev25_event25_telop
0x14110F370	EXE3w_btlev25_event25_efc
0x14110F550	EXE3w_btlev25_event25_fade
0x14110F710	EXE3w_btlev25_event25_exit
0x1413713E0	EXE3w_btlev26_BattleEvent26Move
