0x1406C0A40	EXE4r_btlinit_BattleBgInit
0x1406C0C70	EXE4r_btlinit_BattleEnemySet
0x1406C0D30	EXE4r_btlinit_BattleEnemySetSub
0x1406C1160	EXE4r_btlinit_set_kind_navi
0x1406C12F0	EXE4r_btlinit_set_kind_enemy
0x1406C1930	EXE4r_btlinit_set_kind_mistery_data
0x1406C1BC0	EXE4r_btlinit_set_kind_rock
0x1406C1EB0	EXE4r_btlinit_set_kind_ds
0x1406C1F90	EXE4r_btlinit_set_kind_gear
0x1406C2360	EXE4r_btlinit_set_kind_wind
0x1406C2580	EXE4r_btlinit_set_kind_flag
0x1406C2780	EXE4r_btlinit_SetBattlePlayer
0x1406C2BD0	EXE4r_btlinit_SetBattleDS
0x1406C3470	EXE4r_btlinit_BattleCharInit
0x1406C3650	EXE4r_btlinit_BattleDispWorkInit
0x140113BB0	EXE4r_btljudge_BattleJudgeInit
0x140114010	EXE4r_btljudge_BattleJudgeMove
0x1401141F0	EXE4r_btljudge_battle_judge_init
0x1401142D0	EXE4r_btljudge_battle_judge_move
0x1401143C0	EXE4r_btljudge_battle_judge_move_telop
0x1401145D0	EXE4r_btljudge_battle_judge_move_damage
0x1401146C0	EXE4r_btljudge_battle_judge_move_damage_00
0x1401147A0	EXE4r_btljudge_battle_judge_move_damage_01
0x140114A10	EXE4r_btljudge_battle_judge_move_damage_02
0x140114CF0	EXE4r_btljudge_battle_judge_move_erase
0x140114E70	EXE4r_btljudge_battle_judge_exit
0x1406366E0	EXE4r_btlmain_BattleMain
0x1406368B0	EXE4r_btlmain_battle_init
0x140636BF0	EXE4r_btlmain_battle_init_00
0x140636D60	EXE4r_btlmain_battle_init_01
0x140636E50	EXE4r_btlmain_battle_init_01_00
0x140636F50	EXE4r_btlmain_battle_init_01_01
0x140637110	EXE4r_btlmain_battle_init_01_02
0x140637230	EXE4r_btlmain_battle_init_01_03
0x140637390	EXE4r_btlmain_battle_init_02
0x140637560	EXE4r_btlmain_battle_main
0x140637A70	EXE4r_btlmain_battle_exit
0x140637C80	EXE4r_btlmain_battle_link_out
