0x140D8F5B0	EXE3w_btlev2c_event2c_move
0x140D8F6A0	EXE3w_btlev2c_event2c_appear
0x140D8F870	EXE3w_btlev2c_event2c_set
0x140D8FB00	EXE3w_btlev2c_event2c_fade
0x140D8FCD0	EXE3w_btlev2c_event2c_exit
0x140D3F810	EXE3w_btlev2d_BattleEvent2dMove
0x140D3F900	EXE3w_btlev2d_event2d_init
0x140D3FB40	EXE3w_btlev2d_event2d_move
0x140D3FC30	EXE3w_btlev2d_event2d_set
0x140D400A0	EXE3w_btlev2d_event2d_fade
0x140D40270	EXE3w_btlev2d_event2d_exit
0x140D89830	EXE3w_btlev2e_BattleEvent2eMove
0x140D89920	EXE3w_btlev2e_event2e_init
0x140D89B60	EXE3w_btlev2e_event2e_move
0x140D89C50	EXE3w_btlev2e_event2e_appear
0x140D89EE0	EXE3w_btlev2e_event2e_set
0x140D8A160	EXE3w_btlev2e_event2e_fade
0x140D8A330	EXE3w_btlev2e_event2e_exit
0x140D8A490	EXE3w_btlev2e_next_set_pos
0x140E1DCB0	EXE3w_btlev2f_BattleEvent2fMove
0x140E1DDA0	EXE3w_btlev2f_btlev2f_init
0x140E1E0D0	EXE3w_btlev2f_btlev2f_move
0x140E1E1C0	EXE3w_btlev2f_btlev2f_telop
0x140E1E410	EXE3w_btlev2f_btlev2f_piece_erase
0x140E1E670	EXE3w_btlev2f_btlev2f_piece_set
0x140E1E7A0	EXE3w_btlev2f_type_ofence
0x140E1E890	EXE3w_btlev2f_type_ofence_00
0x140E1ECE0	EXE3w_btlev2f_type_ofence_01
0x140E1F540	EXE3w_btlev2f_type_ofence_02
0x140E1F950	EXE3w_btlev2f_type_knight
0x140E1FA40	EXE3w_btlev2f_type_knight_00
0x140E20180	EXE3w_btlev2f_type_knight_01
