0x1408DCC60	EXE2j_btlev0c_event0c_exit
0x140A63ED0	EXE2j_btlev0d_BattleEvent0dMove
0x140A63FC0	EXE2j_btlev0d_btlev0d_init
0x140A641C0	EXE2j_btlev0d_btlev0d_move
0x140A642B0	EXE2j_btlev0d_btlev0d_telop
0x140A64470	EXE2j_btlev0d_btlev0d_pl_erase
0x140A64720	EXE2j_btlev0d_btlev0d_pl_entry
0x140A64900	EXE2j_btlev0d_btlev0d_exit
0x1406D7990	EXE2j_btlev0e_BattleEvent0eMove
0x1406D7A80	EXE2j_btlev0e_btlev0e_init
0x1406D7C80	EXE2j_btlev0e_btlev0e_move
0x1406D7D70	EXE2j_btlev0e_btlev0e_telop
0x1406D7F30	EXE2j_btlev0e_btlev0e_pl_erase
0x1406D81E0	EXE2j_btlev0e_btlev0e_pl_entry
0x1406D83C0	EXE2j_btlev0e_btlev0e_exit
0x140630F90	EXE2j_btlev0f_BattleEvent0fMove
0x140631080	EXE2j_btlev0f_btlev0f_init
0x140631280	EXE2j_btlev0f_btlev0f_move
0x140631370	EXE2j_btlev0f_btlev0f_telop
0x140631530	EXE2j_btlev0f_btlev0f_pl_erase
0x1406317E0	EXE2j_btlev0f_btlev0f_pl_entry
0x1406319C0	EXE2j_btlev0f_btlev0f_exit
0x14054BAF0	EXE2j_btlev10_BattleEvent10Move
0x14054BBE0	EXE2j_btlev10_btlev10_init
0x14054BDE0	EXE2j_btlev10_btlev10_move
0x14054BED0	EXE2j_btlev10_btlev10_telop
0x14054C090	EXE2j_btlev10_btlev10_pl_erase
0x14054C340	EXE2j_btlev10_btlev10_pl_entry
0x14054C520	EXE2j_btlev10_btlev10_exit
0x1409902B0	EXE2j_btlev11_BattleEvent11Move
0x1409903A0	EXE2j_btlev11_event11_init
0x1409905F0	EXE2j_btlev11_event11_move
0x1409906E0	EXE2j_btlev11_event11_appear
0x140990A90	EXE2j_btlev11_event11_set
0x140990D20	EXE2j_btlev11_event11_fade
0x140990EF0	EXE2j_btlev11_event11_exit
0x1406D8E30	EXE2j_btlev12_BattleEvent12Move
0x1406D8F20	EXE2j_btlev12_event12_init
0x1406D9170	EXE2j_btlev12_event12_move
0x1406D9260	EXE2j_btlev12_event12_vanish
0x1406D93B0	EXE2j_btlev12_event12_set
0x1406D96F0	EXE2j_btlev12_event12_wait
0x1406D9860	EXE2j_btlev12_event12_fade
0x1406D9A30	EXE2j_btlev12_event12_exit
0x140598910	EXE2j_btlev13_BattleEvent13Move
0x140598A00	EXE2j_btlev13_btlev13_init
0x140598C30	EXE2j_btlev13_btlev13_move
0x140598D20	EXE2j_btlev13_btlev13_telop
0x140598EE0	EXE2j_btlev13_btlev13_pl_erase
0x1405993A0	EXE2j_btlev13_btlev13_pl_entry
0x140599540	EXE2j_btlev13_btlev13_exit
0x140599730	EXE2j_btlev13_btlev13_syuriken_pos_set
0x14059A310	EXE2j_btlev13_btlev13_syuriken_pos_set2
0x14059B150	EXE2j_btlev14_BattleEvent14Move
0x14059B240	EXE2j_btlev14_btlev14_init
0x14059B470	EXE2j_btlev14_btlev14_move
0x14059B560	EXE2j_btlev14_btlev14_telop
0x14059B720	EXE2j_btlev14_btlev14_pl_erase
0x14059BA00	EXE2j_btlev14_btlev14_pl_entry
0x14059BBA0	EXE2j_btlev14_btlev14_exit
0x1404E3290	EXE2j_btlev15_BattleEvent15Move
0x1404E3380	EXE2j_btlev15_btlev15_init
0x1404E35B0	EXE2j_btlev15_btlev15_move
0x1404E36A0	EXE2j_btlev15_btlev15_telop
0x1404E3860	EXE2j_btlev15_btlev15_pl_erase
0x1404E3B40	EXE2j_btlev15_btlev15_pl_entry
0x1404E3CE0	EXE2j_btlev15_btlev15_exit
0x1408B90B0	EXE2j_btlev16_BattleEvent16Move
0x1408B91A0	EXE2j_btlev16_event16_init
0x1408B93E0	EXE2j_btlev16_event16_move
0x1408B94D0	EXE2j_btlev16_event16_telop
0x1408B96F0	EXE2j_btlev16_event16_efc
0x1408B9890	EXE2j_btlev16_event16_fade
0x1408B9A60	EXE2j_btlev16_event16_exit
0x140863FD0	EXE2j_btlev17_BattleEvent17Move
0x1408640C0	EXE2j_btlev17_btlev17_init
0x1408642F0	EXE2j_btlev17_btlev17_move
0x1408643E0	EXE2j_btlev17_btlev17_telop
0x1408645A0	EXE2j_btlev17_btlev17_pl_erase
