0x206b8	EXE3_btlev2f_btlev2f_move
0x206d0	EXE3_btlev2f_btlev2f_telop
0x206d8	EXE3_btlev2f_btlev2f_piece_erase
0x206e0	EXE3_btlev2f_btlev2f_piece_set
0x20700	EXE3_btlev2f_type_ofence
0x20718	EXE3_btlev2f_type_ofence_00
0x20738	EXE3_btlev2f_type_ofence_01
0x20748	EXE3_btlev2f_type_ofence_02
0x20758	EXE3_btlev2f_type_knight
0x20770	EXE3_btlev2f_type_knight_00
0x20780	EXE3_btlev2f_type_knight_01
0x20790	EXE3_btlev2f_type_defence
0x207a8	EXE3_btlev2f_type_defence_00
0x207b8	EXE3_btlev2f_type_defence_01
0x207c8	EXE3_btlev2f_btlev2f_exit
0x207d0	EXE3_btlev2f_pawn_set_sub
0x207d8	EXE3_btlev2f_knight_set_sub
0x207e0	EXE3_btlev2f_rook_set_sub
0x207e8	EXE3_btlev30_BattleEvent30Move
0x20800	EXE3_btlev30_btlev30_init
0x20808	EXE3_btlev30_btlev30_move
0x20820	EXE3_btlev30_btlev30_telop
0x20828	EXE3_btlev30_btlev30_piece_set
0x20830	EXE3_btlev30_btlev30_exit
0x20838	EXE3_btlev31_BattleEvent31Move
0x20850	EXE3_btlev31_event31_init
0x20858	EXE3_btlev31_event31_move
0x20878	EXE3_btlev31_event31_set
0x20880	EXE3_btlev31_event31_wait
0x20888	EXE3_btlev31_event31_wait2
0x20890	EXE3_btlev31_event31_fade
0x20898	EXE3_btlev31_event31_exit
0x208a0	EXE3_btlev32_BattleEvent32Move
0x208b8	EXE3_btlev32_btlev32_move
0x208d8	EXE3_btlev32_btlev32_pl_erase
0x208e0	EXE3_btlev33_BattleEvent33Move
0x208f8	EXE3_btlev33_btlev33_init
0x20900	EXE3_btlev33_btlev33_move
0x20918	EXE3_btlev33_btlev33_telop
0x20928	EXE3_btlev33_btlev33_pl_erase
0x20930	EXE3_btlev33_btlev33_pl_entry
0x20938	EXE3_btlev33_btlev33_exit
0x20940	EXE3_btlev34_BattleEvent34Move
0x20958	EXE3_btlev34_btlev34_init
0x20960	EXE3_btlev34_btlev34_move
0x20978	EXE3_btlev34_btlev34_wait
0x20988	EXE3_btlev34_btlev34_deck_set
0x20990	EXE3_btlev34_btlev34_exit
0x20998	EXE3_btlev35_BattleEvent35Move
0x209b0	EXE3_btlev35_event35_init
0x209b8	EXE3_btlev35_event35_move
0x209d0	EXE3_btlev35_event35_appear
0x209d8	EXE3_btlev35_event35_set
0x209e8	EXE3_btlev35_event35_fade
0x209f0	EXE3_btlev35_event35_exit
0x209f8	EXE3_btlev36_BattleEvent36Move
0x20a10	EXE3_btlev36_btlev36_move
0x20a30	EXE3_btlev36_btlev36_pl_erase
0x20a38	EXE3_btlev37_BattleEvent37Move
0x20a50	EXE3_btlev37_btlev37_init
0x20a58	EXE3_btlev37_btlev37_move
0x20a70	EXE3_btlev37_btlev37_telop
0x20a78	EXE3_btlev37_btlev37_erase
0x20a80	EXE3_btlev37_btlev37_wait
0x20a88	EXE3_btlev37_btlev37_exit
0x20a98	EXE3_btlev38_BattleEvent38Move
0x20ab0	EXE3_btlev38_btlev38_init
0x20ab8	EXE3_btlev38_btlev38_move
0x20ad8	EXE3_btlev38_btlev38_check
