0x25cf8	EXE4_btlhit_sub_BattleHitOn
0x25d00	EXE4_btlhit_sub_BattleHitBarrierSet
0x25d10	EXE4_btlhit_sub_BattleHitBarrierReset
0x25d18	EXE4_btlhit_sub_BattleHitBarrierHitCheck
0x25d20	EXE4_btlhit_sub_BattleHitModeChange
0x25d28	EXE4_btlhit_sub_BattleHitModeAttrGet
0x25d30	EXE4_btlhit_sub1_BattleHitHitMarkCheck
0x25d40	EXE4_btlhit_sub1_BattleHitHitMarkSet
0x25d48	EXE4_btlhit_sub1_BattleHitDefaultHitMarkSet
0x25d50	EXE4_btlhit_sub1_BattleHitStatusFlagOn
0x25d58	EXE4_btlhit_sub1_BattleHitStatusFlagOff
0x25d60	EXE4_btlhit_sub1_BattleHitStatusFlagGet
0x25d68	EXE4_btlhit_sub1_BattleHitReqFlagOn
0x25d70	EXE4_btlhit_sub1_BattleHitReqFlagOff
0x25d78	EXE4_btlhit_sub1_BattleHitReqFlagGet
0x25d80	EXE4_btlhit_sub1_BattleHitGroundDamageCheckNavi
0x25d88	EXE4_btlhit_sub1_BattleHitGroundDamageCheck
0x25d98	EXE4_btlhit_sub1_BattleHitGroundCheck
0x25da0	EXE4_btlhit_sub1_BattleHitMagmaDamageCheck
0x25da8	EXE4_btlhit_sub1_BattleHitMagmaDamageCheckNavi
0x25db0	EXE4_btlhit_sub1_BattleHitKokoroCheck
0x25db8	EXE4_btlhit_sub1_BattleHitAbnormalStatusSet
0x25dc0	EXE4_btlhit_sub1_BattleHitAbnormalStatusReset
0x25dc8	EXE4_btlhit_sub1_BattleHitPalsyReset
0x25dd0	EXE4_btlhit_sub1_BattleHitBreakChipCheck
0x25dd8	EXE4_btlhit_sub1_BattleHitBreakChipCheckNavi
0x25de0	EXE4_btlhit_sub1_BattleHitRecoverCheck
0x25de8	EXE4_btlhit_sub1_BattleHitRecoverCheckNavi
0x25df0	EXE4_btlhit_sub1_BattleHitHolyPanelCheckNavi
0x25df8	EXE4_btlhit_sub1_BattleHitDarkPanelCheckNavi
0x25e00	EXE4_btlhit_sub1_BattleHitIceBlockCheck
0x25e18	EXE4_btlhit_sub1_BattleHitCounterTimerCheck
0x25e20	EXE4_btlhit_sub1_BattleHitDoubleDamageHitMarkCheck
0x25e38	EXE4_btlhit_sub1_BattleHitCounterHitMarkCheck
0x25e40	EXE4_btlhit_sub1_BattleHitStatusChangeSet
0x25e48	EXE4_btlhit_sub2_AbnormalStatusHitCheck
0x25e50	EXE4_btlhit_sub2_AbnormalStatusHitCheck2
0x25e58	EXE4_btlhit_sub2_AbnormalStatusSet
0x25e60	EXE4_btlhit_sub2_AbnormalStatusEfcClear
0x25e68	EXE4_btlhit_sub2_BattleHitFixedInvCheck
0x25e78	EXE4_btlhit_sub2_EnemyInvHitCheck
0x25e80	EXE4_btlhit_sub2_EnemyInvReset
0x25e88	EXE4_btlhit_sub2_BattleHitDamageClear
0x25e90	EXE4_btlhit_sub2_BattleHitDamageClear2
0x25e98	EXE4_btlinit_BattleInit
0x25eb8	EXE4_btlinit_BattleBgInit
0x25ec0	EXE4_btlinit_BattleEnemySet
0x25ec8	EXE4_btlinit_BattleEnemySetSub
0x25ef8	EXE4_btlinit_set_kind_navi
0x25f00	EXE4_btlinit_set_kind_enemy
0x25f08	EXE4_btlinit_set_kind_mistery_data
0x25f10	EXE4_btlinit_set_kind_rock
0x25f18	EXE4_btlinit_set_kind_ds
0x25f20	EXE4_btlinit_set_kind_gear
0x25f28	EXE4_btlinit_set_kind_wind
0x25f30	EXE4_btlinit_set_kind_flag
0x25f38	EXE4_btlinit_SetBattlePlayer
0x25f40	EXE4_btlinit_SetBattleDS
0x25f48	EXE4_btlinit_BattleCharInit
0x25f90	EXE4_btlinit_BattleDispWorkInit
0x25fd0	EXE4_btljudge_BattleJudgeInit
0x25fe0	EXE4_btljudge_BattleJudgeMove
0x26000	EXE4_btljudge_battle_judge_init
0x26018	EXE4_btljudge_battle_judge_move
0x26030	EXE4_btljudge_battle_judge_move_telop
0x26038	EXE4_btljudge_battle_judge_move_damage
0x26050	EXE4_btljudge_battle_judge_move_damage_00
0x26058	EXE4_btljudge_battle_judge_move_damage_01
0x26068	EXE4_btljudge_battle_judge_move_damage_02
0x26070	EXE4_btljudge_battle_judge_move_erase
0x26078	EXE4_btljudge_battle_judge_exit
0x26080	EXE4_btlmain_BattleMain
0x260a0	EXE4_btlmain_battle_init
